"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"150",150,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Fairview.",".","Community Location","Saturday",4,"Auckland.","None",1,1
"151",151,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Feilding North.",".","Community Location","Saturday",10,"Manawatu District.","None",1,1
"152",152,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Trafalgar.",".","Community Location","Saturday",14,"Nelson City.","None",1,1
"153",153,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Waiheke Island.",".","Community Location","Saturday",17,"Auckland.","None",1,1
"154",154,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Harania East.",".","Community Location","Saturday",20,"Auckland.","None",1,1
"155",155,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Akina.",".","Community Location","Saturday",0,"Hastings District.","Not Stated",1,1
"156",156,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Fenton.",".","Community Location","Saturday",3,"Rotorua District.","Not Stated",1,1
"157",157,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Onekawa West.",".","Community Location","Saturday",9,"Napier City.","Not Stated",1,1
"158",158,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Te Rapa.",".","Community Location","Saturday",14,"Hamilton City.","Not Stated",1,1
"159",159,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Elsdon-Takapuwahia.",".","Community Location","Saturday",17,"Porirua City.","Not Stated",1,1
"160",160,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Kelburn.",".","Community Location","Saturday",23,"Wellington City.","Not Stated",1,1
"161",161,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Central East.",".","Community Location","Sunday",1,"Auckland.","None",1,1
"162",162,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hamilton Central.",".","Community Location","Sunday",1,"Hamilton City.","None",1,1
"163",163,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hagley Park.",".","Community Location","Sunday",2,"Christchurch City.","None",1,1
"164",164,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Harbourside.",".","Community Location","Sunday",3,"Auckland.","None",1,1
"165",165,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Cathedral Square.",".","Community Location","Sunday",4,"Christchurch City.","None",1,1
"166",166,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Levin West.",".","Community Location","Sunday",10,"Horowhenua District.","None",1,2
"167",167,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Greerton.",".","Community Location","Sunday",12,"Tauranga City.","None",1,1
"168",168,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Viscount.",".","Community Location","Sunday",14,"Auckland.","None",1,1
"169",169,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Mangapa-Matauri Bay.",".","Community Location","Sunday",15,"Far North District.","None",1,1
"170",170,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Murrays Bay.",".","Community Location","Sunday",17,"Auckland.","None",1,1
"171",171,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Epuni West.",".","Community Location","Sunday",18,"Lower Hutt City.","None",1,1
"172",172,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Royal Heights.",".","Community Location","Sunday",21,"Auckland.","None",1,1
"173",173,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Te Papapa.",".","Community Location","Sunday",22,"Auckland.","None",1,1
"174",174,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Linwood North.",".","Community Location","Sunday",11,"Christchurch City.","Not Stated",1,1
"175",175,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hamilton Central.",".","Community Location","Sunday",99,"Hamilton City.","Not Stated",1,1
"176",176,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Auckland Harbourside.",".","Community Location","Sunday",0,"Auckland.","None",1,2
"177",177,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Hokianga North.",".","Community Location","Sunday",12,"Far North District.","None",1,1
"178",178,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Richmond North.",".","Community Location","Sunday",20,"Christchurch City.","None",1,1
"179",179,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Tauranga Central.",".","Community Location","Sunday",1,"Tauranga City.","Not Stated",1,1
"180",180,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Nelson Park.",".","Community Location","Sunday",10,"Napier City.","Not Stated",1,1
"181",181,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Onehunga South West.",".","Community Location","Sunday",14,"Auckland.","Not Stated",1,1
"182",182,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Ahipara.",".","Community Location","Sunday",18,"Far North District.","Not Stated",1,1
"183",183,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Huntly West.",".","Community Location","Sunday",22,"Waikato District.","Not Stated",1,1
"184",184,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Omahu.",".","Community Location","Sunday",99,"Hastings District.","Blunt Instrument N.E.C.",1,1
"185",185,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Hamilton Lake.",".","Community Location","Sunday",0,"Hamilton City.","None",1,1
"186",186,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Tauranga Central.",".","Community Location","Sunday",2,"Tauranga City.","None",1,1
"187",187,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Queenstown Bay.",".","Community Location","Sunday",4,"Queenstown-Lakes District.","None",1,1
"188",188,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Sylvester.",".","Community Location","Sunday",16,"Hamilton City.","None",1,1
"189",189,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Naenae North.",".","Community Location","Sunday",21,"Lower Hutt City.","None",1,1
"190",190,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Lambton.",".","Community Location","Sunday",2,"Wellington City.","Not Stated",1,1
"191",191,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Papakowhai South.",".","Community Location","Sunday",15,"Porirua City.","Not Stated",1,1
"192",192,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Allenton West.",".","Community Location","Sunday",22,"Ashburton District.","Not Stated",1,1
"193",193,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Dannevirke West.",".","Community Location","Sunday",14,"Tararua District.","Other Weapon",1,1
"194",194,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Tauranga Central.",".","Community Location","Thursday",1,"Tauranga City.","None",1,1
"195",195,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Boulcott.",".","Community Location","Thursday",8,"Lower Hutt City.","None",1,1
"196",196,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Northcote.",".","Community Location","Thursday",10,"Christchurch City.","None",1,1
"197",197,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Nawton.",".","Community Location","Thursday",12,"Hamilton City.","None",1,1
"198",198,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Middlemore.",".","Community Location","Thursday",13,"Auckland.","None",1,1
"199",199,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Karoro.",".","Community Location","Thursday",14,"Grey District.","None",1,1
"200",200,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hawera North.",".","Community Location","Thursday",16,"South Taranaki District.","None",1,1
"201",201,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Deans Bush.",".","Community Location","Thursday",17,"Christchurch City.","None",1,3
"202",202,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Weiti River.",".","Community Location","Thursday",19,"Auckland.","None",1,1
"203",203,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Gonville South.",".","Community Location","Thursday",22,"Wanganui District.","None",1,1
"204",204,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Morrinsville East.",".","Community Location","Thursday",99,"Matamata-Piako District.","None",1,1
"205",205,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Isel Park.",".","Community Location","Thursday",15,"Nelson City.","Not Stated",1,1
"206",206,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hutt Central.",".","Community Location","Thursday",11,"Lower Hutt City.","Other Weapon",1,1
"207",207,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Otara West.",".","Community Location","Thursday",23,"Auckland.","Blunt Instrument N.F.D.",1,1
"208",208,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Kuirau.",".","Community Location","Thursday",15,"Rotorua District.","None",1,1
"209",209,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Mayfair.",".","Community Location","Thursday",23,"Hastings District.","None",1,2
"210",210,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Flaxmere East.",".","Community Location","Thursday",8,"Hastings District.","Not Stated",1,1
"211",211,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Highbury.",".","Community Location","Thursday",12,"Palmerston North City.","Not Stated",1,1
"212",212,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Greenmeadows.",".","Community Location","Thursday",19,"Napier City.","Not Stated",1,1
"213",213,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Hastings Central.",".","Community Location","Thursday",21,"Hastings District.","Not Stated",1,1
"214",214,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Masterton East.",".","Community Location","Thursday",22,"Masterton District.","Firearm N.F.D.",1,1
